,lang,feature,accuracy,permute,epoch,lang_train,init,num_samples
239,enfr,manner,0.41289592760180993,0.0,18,en,none,41957
240,en,voicing,0.7647058823529411,0.0,18,en,none,41957
241,fr,voicing,0.0,0.0,18,en,none,41957
242,enfr,voicing,0.4852941176470588,0.0,18,en,none,41957
243,en,place,0.5416666666666666,0.0,18,en,none,41957
244,fr,place,0.10526315789473684,0.0,18,en,none,41957
245,enfr,place,0.29276315789473684,0.0,18,en,none,41957
246,enfr,lang,0.9863013698630136,0.0,18,en,none,41957
247,en,sonority,0.8461538461538461,0.0,19,en,none,48563
248,fr,sonority,0.38235294117647056,0.0,19,en,none,48563
249,enfr,sonority,0.36877828054298645,0.0,19,en,none,48563
250,en,manner,0.717948717948718,0.0,19,en,none,48563
251,fr,manner,0.4411764705882353,0.0,19,en,none,48563
252,enfr,manner,0.41289592760180993,0.0,19,en,none,48563
253,en,voicing,0.8235294117647058,0.0,19,en,none,48563
254,fr,voicing,0.0,0.0,19,en,none,48563
255,enfr,voicing,0.4852941176470588,0.0,19,en,none,48563
256,en,place,0.5833333333333334,0.0,19,en,none,48563
257,fr,place,0.10526315789473684,0.0,19,en,none,48563
258,enfr,place,0.29276315789473684,0.0,19,en,none,48563
259,enfr,lang,0.9863013698630136,0.0,19,en,none,48563
260,en,sonority,0.8461538461538461,0.0,20,en,none,56131
261,fr,sonority,0.38235294117647056,0.0,20,en,none,56131
262,enfr,sonority,0.36877828054298645,0.0,20,en,none,56131
263,en,manner,0.717948717948718,0.0,20,en,none,56131
264,fr,manner,0.4411764705882353,0.0,20,en,none,56131
265,enfr,manner,0.3981900452488688,0.0,20,en,none,56131
266,en,voicing,0.8235294117647058,0.0,20,en,none,56131
267,fr,voicing,0.0,0.0,20,en,none,56131
268,enfr,voicing,0.4852941176470588,0.0,20,en,none,56131
269,en,place,0.5833333333333334,0.0,20,en,none,56131
270,fr,place,0.10526315789473684,0.0,20,en,none,56131
271,enfr,place,0.27192982456140347,0.0,20,en,none,56131
272,enfr,lang,0.9863013698630136,0.0,20,en,none,56131
273,en,sonority,0.8461538461538461,0.0,21,en,none,64800
274,fr,sonority,0.38235294117647056,0.0,21,en,none,64800
275,enfr,sonority,0.36877828054298645,0.0,21,en,none,64800
276,en,manner,0.717948717948718,0.0,21,en,none,64800
277,fr,manner,0.4411764705882353,0.0,21,en,none,64800
278,enfr,manner,0.3981900452488688,0.0,21,en,none,64800
279,en,voicing,0.8235294117647058,0.0,21,en,none,64800
280,fr,voicing,0.0,0.0,21,en,none,64800
281,enfr,voicing,0.4852941176470588,0.0,21,en,none,64800
282,en,place,0.625,0.0,21,en,none,64800
283,fr,place,0.10526315789473684,0.0,21,en,none,64800
284,enfr,place,0.27192982456140347,0.0,21,en,none,64800
285,enfr,lang,0.9863013698630136,0.0,21,en,none,64800
286,en,sonority,0.8461538461538461,0.0,22,en,none,74730
287,fr,sonority,0.38235294117647056,0.0,22,en,none,74730
288,enfr,sonority,0.36877828054298645,0.0,22,en,none,74730
289,en,manner,0.717948717948718,0.0,22,en,none,74730
290,fr,manner,0.4411764705882353,0.0,22,en,none,74730
291,enfr,manner,0.41289592760180993,0.0,22,en,none,74730
292,en,voicing,0.8235294117647058,0.0,22,en,none,74730
293,fr,voicing,0.0,0.0,22,en,none,74730
294,enfr,voicing,0.4852941176470588,0.0,22,en,none,74730
295,en,place,0.625,0.0,22,en,none,74730
296,fr,place,0.10526315789473684,0.0,22,en,none,74730
297,enfr,place,0.27192982456140347,0.0,22,en,none,74730
298,enfr,lang,0.9863013698630136,0.0,22,en,none,74730
299,en,sonority,0.8461538461538461,0.0,23,en,none,86105
300,fr,sonority,0.38235294117647056,0.0,23,en,none,86105
301,enfr,sonority,0.36877828054298645,0.0,23,en,none,86105
302,en,manner,0.717948717948718,0.0,23,en,none,86105
303,fr,manner,0.4411764705882353,0.0,23,en,none,86105
304,enfr,manner,0.3981900452488688,0.0,23,en,none,86105
305,en,voicing,0.8235294117647058,0.0,23,en,none,86105
306,fr,voicing,0.0,0.0,23,en,none,86105
307,enfr,voicing,0.4852941176470588,0.0,23,en,none,86105
308,en,place,0.625,0.0,23,en,none,86105
309,fr,place,0.15789473684210525,0.0,23,en,none,86105
310,enfr,place,0.27192982456140347,0.0,23,en,none,86105
311,enfr,lang,0.9863013698630136,0.0,23,en,none,86105
312,en,sonority,0.8461538461538461,0.0,24,en,none,99136
313,fr,sonority,0.38235294117647056,0.0,24,en,none,99136
314,enfr,sonority,0.36877828054298645,0.0,24,en,none,99136
315,en,manner,0.717948717948718,0.0,24,en,none,99136
316,fr,manner,0.4411764705882353,0.0,24,en,none,99136
317,enfr,manner,0.41289592760180993,0.0,24,en,none,99136
318,en,voicing,0.8235294117647058,0.0,24,en,none,99136
319,fr,voicing,0.0,0.0,24,en,none,99136
320,enfr,voicing,0.4852941176470588,0.0,24,en,none,99136
321,en,place,0.625,0.0,24,en,none,99136
322,fr,place,0.15789473684210525,0.0,24,en,none,99136
323,enfr,place,0.2510964912280702,0.0,24,en,none,99136
324,enfr,lang,0.9863013698630136,0.0,24,en,none,99136
325,en,sonority,0.8461538461538461,0.0,25,en,none,114063
326,fr,sonority,0.38235294117647056,0.0,25,en,none,114063
327,enfr,sonority,0.36877828054298645,0.0,25,en,none,114063
328,en,manner,0.717948717948718,0.0,25,en,none,114063
329,fr,manner,0.4411764705882353,0.0,25,en,none,114063
330,enfr,manner,0.41289592760180993,0.0,25,en,none,114063
331,en,voicing,0.8235294117647058,0.0,25,en,none,114063
332,fr,voicing,0.0,0.0,25,en,none,114063
333,enfr,voicing,0.4852941176470588,0.0,25,en,none,114063
334,en,place,0.6666666666666666,0.0,25,en,none,114063
335,fr,place,0.15789473684210525,0.0,25,en,none,114063
336,enfr,place,0.27192982456140347,0.0,25,en,none,114063
337,enfr,lang,0.9863013698630136,0.0,25,en,none,114063
338,en,sonority,0.8461538461538461,0.0,26,en,none,131162
339,fr,sonority,0.38235294117647056,0.0,26,en,none,131162
340,enfr,sonority,0.36877828054298645,0.0,26,en,none,131162
341,en,manner,0.717948717948718,0.0,26,en,none,131162
342,fr,manner,0.4411764705882353,0.0,26,en,none,131162
343,enfr,manner,0.3981900452488688,0.0,26,en,none,131162
344,en,voicing,0.8235294117647058,0.0,26,en,none,131162
345,fr,voicing,0.0,0.0,26,en,none,131162
346,enfr,voicing,0.4852941176470588,0.0,26,en,none,131162
347,en,place,0.7083333333333334,0.0,26,en,none,131162
348,fr,place,0.15789473684210525,0.0,26,en,none,131162
349,enfr,place,0.27192982456140347,0.0,26,en,none,131162
350,enfr,lang,0.9863013698630136,0.0,26,en,none,131162
351,en,sonority,0.8461538461538461,0.0,27,en,none,150750
352,fr,sonority,0.38235294117647056,0.0,27,en,none,150750
353,enfr,sonority,0.36877828054298645,0.0,27,en,none,150750
354,en,manner,0.717948717948718,0.0,27,en,none,150750
355,fr,manner,0.4411764705882353,0.0,27,en,none,150750
356,enfr,manner,0.3981900452488688,0.0,27,en,none,150750
357,en,voicing,0.8235294117647058,0.0,27,en,none,150750
358,fr,voicing,0.0,0.0,27,en,none,150750
359,enfr,voicing,0.4852941176470588,0.0,27,en,none,150750
360,en,place,0.7083333333333334,0.0,27,en,none,150750
361,fr,place,0.15789473684210525,0.0,27,en,none,150750
362,enfr,place,0.23026315789473684,0.0,27,en,none,150750
363,enfr,lang,0.9863013698630136,0.0,27,en,none,150750
364,en,sonority,0.8461538461538461,0.0,28,en,none,173188
365,fr,sonority,0.38235294117647056,0.0,28,en,none,173188
366,enfr,sonority,0.36877828054298645,0.0,28,en,none,173188
367,en,manner,0.717948717948718,0.0,28,en,none,173188
368,fr,manner,0.4411764705882353,0.0,28,en,none,173188
369,enfr,manner,0.41289592760180993,0.0,28,en,none,173188
370,en,voicing,0.8235294117647058,0.0,28,en,none,173188
371,fr,voicing,0.0,0.0,28,en,none,173188
372,enfr,voicing,0.4852941176470588,0.0,28,en,none,173188
373,en,place,0.7083333333333334,0.0,28,en,none,173188
374,fr,place,0.15789473684210525,0.0,28,en,none,173188
375,enfr,place,0.23026315789473684,0.0,28,en,none,173188
376,enfr,lang,0.9863013698630136,0.0,28,en,none,173188
377,en,sonority,0.8461538461538461,0.0,29,en,none,198891
378,fr,sonority,0.38235294117647056,0.0,29,en,none,198891
379,enfr,sonority,0.36877828054298645,0.0,29,en,none,198891
380,en,manner,0.717948717948718,0.0,29,en,none,198891
381,fr,manner,0.4411764705882353,0.0,29,en,none,198891
382,enfr,manner,0.36877828054298645,0.0,29,en,none,198891
383,en,voicing,0.8823529411764706,0.0,29,en,none,198891
384,fr,voicing,0.0,0.0,29,en,none,198891
385,enfr,voicing,0.4852941176470588,0.0,29,en,none,198891
386,en,place,0.7083333333333334,0.0,29,en,none,198891
387,fr,place,0.15789473684210525,0.0,29,en,none,198891
388,enfr,place,0.23026315789473684,0.0,29,en,none,198891
389,enfr,lang,0.9863013698630136,0.0,29,en,none,198891
390,en,sonority,0.8461538461538461,0.0,30,en,none,228334
391,fr,sonority,0.38235294117647056,0.0,30,en,none,228334
392,enfr,sonority,0.36877828054298645,0.0,30,en,none,228334
393,en,manner,0.7435897435897436,0.0,30,en,none,228334
394,fr,manner,0.4411764705882353,0.0,30,en,none,228334
395,enfr,manner,0.3981900452488688,0.0,30,en,none,228334
396,en,voicing,0.8823529411764706,0.0,30,en,none,228334
397,fr,voicing,0.0,0.0,30,en,none,228334
398,enfr,voicing,0.4852941176470588,0.0,30,en,none,228334
399,en,place,0.7083333333333334,0.0,30,en,none,228334
400,fr,place,0.15789473684210525,0.0,30,en,none,228334
401,enfr,place,0.2510964912280702,0.0,30,en,none,228334
402,enfr,lang,1.0,0.0,30,en,none,228334
403,en,sonority,0.8461538461538461,0.0,31,en,none,262062
404,fr,sonority,0.4117647058823529,0.0,31,en,none,262062
405,enfr,sonority,0.36877828054298645,0.0,31,en,none,262062
406,en,manner,0.717948717948718,0.0,31,en,none,262062
407,fr,manner,0.4411764705882353,0.0,31,en,none,262062
408,enfr,manner,0.36877828054298645,0.0,31,en,none,262062
409,en,voicing,0.8235294117647058,0.0,31,en,none,262062
410,fr,voicing,0.0,0.0,31,en,none,262062
411,enfr,voicing,0.4852941176470588,0.0,31,en,none,262062
412,en,place,0.7083333333333334,0.0,31,en,none,262062
413,fr,place,0.15789473684210525,0.0,31,en,none,262062
414,enfr,place,0.2510964912280702,0.0,31,en,none,262062
415,enfr,lang,1.0,0.0,31,en,none,262062
416,en,sonority,0.8461538461538461,0.0,32,en,none,300698
417,fr,sonority,0.4117647058823529,0.0,32,en,none,300698
418,enfr,sonority,0.36877828054298645,0.0,32,en,none,300698
419,en,manner,0.717948717948718,0.0,32,en,none,300698
420,fr,manner,0.4411764705882353,0.0,32,en,none,300698
421,enfr,manner,0.36877828054298645,0.0,32,en,none,300698
422,en,voicing,0.8823529411764706,0.0,32,en,none,300698
423,fr,voicing,0.0,0.0,32,en,none,300698
424,enfr,voicing,0.4852941176470588,0.0,32,en,none,300698
425,en,place,0.7083333333333334,0.0,32,en,none,300698
426,fr,place,0.15789473684210525,0.0,32,en,none,300698
427,enfr,place,0.2510964912280702,0.0,32,en,none,300698
428,enfr,lang,1.0,0.0,32,en,none,300698
429,en,sonority,0.8717948717948718,0.0,33,en,none,344956
430,fr,sonority,0.4117647058823529,0.0,33,en,none,344956
431,enfr,sonority,0.36877828054298645,0.0,33,en,none,344956
432,en,manner,0.717948717948718,0.0,33,en,none,344956
433,fr,manner,0.4411764705882353,0.0,33,en,none,344956
434,enfr,manner,0.41289592760180993,0.0,33,en,none,344956
435,en,voicing,0.9411764705882353,0.0,33,en,none,344956
436,fr,voicing,0.0,0.0,33,en,none,344956
437,enfr,voicing,0.4852941176470588,0.0,33,en,none,344956
438,en,place,0.7083333333333334,0.0,33,en,none,344956
439,fr,place,0.15789473684210525,0.0,33,en,none,344956
440,enfr,place,0.23026315789473684,0.0,33,en,none,344956
441,enfr,lang,1.0,0.0,33,en,none,344956
442,en,sonority,0.8717948717948718,0.0,34,en,none,395654
443,fr,sonority,0.4117647058823529,0.0,34,en,none,395654
444,enfr,sonority,0.36877828054298645,0.0,34,en,none,395654
445,en,manner,0.7435897435897436,0.0,34,en,none,395654
446,fr,manner,0.4411764705882353,0.0,34,en,none,395654
447,enfr,manner,0.41289592760180993,0.0,34,en,none,395654
448,en,voicing,0.9411764705882353,0.0,34,en,none,395654
449,fr,voicing,0.0,0.0,34,en,none,395654
450,enfr,voicing,0.4852941176470588,0.0,34,en,none,395654
451,en,place,0.7083333333333334,0.0,34,en,none,395654
452,fr,place,0.15789473684210525,0.0,34,en,none,395654
453,enfr,place,0.23026315789473684,0.0,34,en,none,395654
454,enfr,lang,1.0,0.0,34,en,none,395654
455,en,sonority,0.8717948717948718,0.0,35,en,none,453730
456,fr,sonority,0.4117647058823529,0.0,35,en,none,453730
457,enfr,sonority,0.36877828054298645,0.0,35,en,none,453730
458,en,manner,0.7948717948717948,0.0,35,en,none,453730
459,fr,manner,0.4411764705882353,0.0,35,en,none,453730
460,enfr,manner,0.36877828054298645,0.0,35,en,none,453730
461,en,voicing,0.8823529411764706,0.0,35,en,none,453730
462,fr,voicing,0.0,0.0,35,en,none,453730
463,enfr,voicing,0.4852941176470588,0.0,35,en,none,453730
464,en,place,0.7083333333333334,0.0,35,en,none,453730
